City Name,Zone Name,Ward name,Ward No ,Open space name/no,Open space heirarchy/ typology (refer to URDPFI),Open space area (in sqkm),Number of Tree (ward/public space street)
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 3/662, 3/663,NA,960,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 3/613, 3/614,NA,576,NA
Lucknow,3,Lohianagar,NA,Park in front of Bhoomi No 4/330, 4/331,NA,432,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 4/64, 4/65,NA,528,NA
Lucknow,3,Lohianagar,NA,Park No 4/224, Park 4/225,NA,324,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 4/900, 4/901,NA,504,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 4/588, 4/589,NA,192,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 4/816, 4/617,NA,720,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 5/738, 5/741,NA,432,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 5/751, 5/754,NA,600,NA
Lucknow,3,Lohianagar,NA,Bharti No 5/846, 5/8,NA,520,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 5/809, 5/815,NA,540,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 5/750, 5/865,NA,384,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 5/420, 5/424,NA,384,NA
Lucknow,3,Lohianagar,NA,Park in front of number 5/211, 5/219,NA,440,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 5/332, 5/336,NA,672,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 5/337, 5/341,NA,1080,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 5/348, 5/354,NA,672,NA
Lucknow,3,Lohianagar,NA,Park in front of Bhopal No 5/376, 5/387,NA,720,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 5/399, 5/406,NA,1080,NA
Lucknow,3,Lohianagar,NA,Park No 6/334, Park 6/341,NA,288,NA
Lucknow,3,Lohianagar,NA,Park No 6/276, 6/289 Park,NA,384,NA
Lucknow,3,Lohianagar,NA,Park No 6/854, Park 6/867,NA,672,NA
Lucknow,3,Lohianagar,NA,Park No 6/327, Park 6/332,NA,288,NA
Lucknow,3,Lohianagar,NA,Park no 6/210, 6/226 park,NA,520,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 6/086, 6/106,NA,384,NA
Lucknow,3,Lohianagar,NA,Park No 6/135, 6/150 Park,NA,384,NA
Lucknow,3,Lohianagar,NA,Park No 6/490, Park 6/495,NA,414,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 6/541, 6/552,NA,480,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 6/591, 6/601,NA,504,NA
Lucknow,3,Lohianagar,NA,Park No 6/578, 6/592 Park,NA,520,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 6/616,NA,700,NA
Lucknow,3,Lohianagar,NA,Park no 6/82, 6/84 park,NA,616,NA
Lucknow,3,Lohianagar,NA,Park No 6/716, park 6/766,NA,600,NA
Lucknow,3,Lohianagar,NA,Park No 6/722, Park 6/729,NA,700,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 1/04, 1/15,NA,2656,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 4/810, 4/811,NA,600,NA
Lucknow,3,Lala Lajpat rai,NA,Park in front of Building 0L6/115,NA,720,NA
Lucknow,3,Lala Lajpat rai,NA,Park ahead of Building 0E4M / 197,NA,1377,NA
Lucknow,3,Lala Lajpat rai,NA,Park in front of Building 0L4M / 53,NA,0,NA
Lucknow,3,Lala Lajpat rai,NA,Park in front of building 0L5M / 91,NA,1892,NA
Lucknow,3,Lala Lajpat rai,NA,Park ahead of building S0E6/239,NA,2262,NA
Lucknow,3,Lala Lajpat rai,NA,Park numberL4M / 41 park in front,NA,250,NA
Lucknow,3,Lala Lajpat rai,NA,Building numberpark in front of N1/80,NA,9200,NA
Lucknow,3,Lala Lajpat rai,NA,Park numberN1/496 park in front,NA,483,NA
Lucknow,3,Lala Lajpat rai,NA,Park numberN115 park in front,NA,414,NA
Lucknow,3,Lala Lajpat rai,NA,Park ahead of Building No06 / 27 / N2,NA,861,NA
Lucknow,3,Lala Lajpat rai,NA,Building numberpark in front of MMS2/82,NA,1140,NA
Lucknow,3,Lala Lajpat rai,NA,Park Nos  Parks in front of C / 130,NA,2844,NA
Lucknow,3,Lala Lajpat rai,NA,Building NumberE729 SectorC Park Park,NA,2470,NA
Lucknow,3,Lala Lajpat rai,NA,BhanSanM  park in front of SectorC,NA,18915,NA
Lucknow,3,Lala Lajpat rai,NA,B Parks in front of SSSE / 4 SectorC,NA,1380,NA
Lucknow,3,Lala Lajpat rai,NA,B Parks in front of SanSS / 686 / N2,NA,927,NA
Lucknow,3,Lala Lajpat rai,NA,B Park in front of NE6/203 / N2,NA,783,NA
Lucknow,3,Lala Lajpat rai,NA,Park ahead of building numberB24,NA,894,NA
Lucknow,3,Lala Lajpat rai,NA,Secretariat colony sector D building no  Park in front of T4 / 1,NA,276,NA
Lucknow,3,Lala Lajpat rai,NA,Park in front of Building 0L6M / 145,NA,1377,NA
Lucknow,3,Lala Lajpat rai,NA,Park in front of building E0E6M / 219,NA,24375,NA
Lucknow,3,Lala Lajpat rai,NA,Building NoPark in front of L4M / 46,NA,84,NA
Lucknow,3,Lala Lajpat rai,NA,Park numberN1 / park in front of SS29,NA,528,NA
Lucknow,3,Lala Lajpat rai,NA,Park numberN1/56 park in front,NA,462,NA
Lucknow,3,Lala Lajpat rai,NA,Park ahead of building numberN / 1 / SS343,NA,483,NA
Lucknow,3,Lala Lajpat rai,NA,Park numberN1/234 park in front,NA,462,NA
Lucknow,3,Lala Lajpat rai,NA,Park numberN1/428 park in front,NA,563,NA
Lucknow,3,Lala Lajpat rai,NA,Park numberN2/91 park in front,NA,750,NA
Lucknow,3,Lala Lajpat rai,NA,Park in front of building No E6 / N2/176,NA,75625,NA
Lucknow,3,Lala Lajpat rai,NA,Park numberN2/135 park in front,NA,1295,NA
Lucknow,3,Lala Lajpat rai,NA,Building NoSSE / 227 SectorC Park Park,NA,1936,NA
Lucknow,3,Lala Lajpat rai,NA,Building NoM  Park in front of SectorC,NA,341,NA
Lucknow,3,Lala Lajpat rai,NA,B Parks in front of NoLS2/32 sectorC,NA,12190,NA
Lucknow,3,Lala Lajpat rai,NA,B No LS2/71 park in front of SectorC,NA,979,NA
Lucknow,3,Lala Lajpat rai,NA,B Park in front of NN2/186,NA,2555,NA
Lucknow,3,Lala Lajpat rai,NA,B Park in front of noSSE / 91 sectorC,NA,1783,NA
Lucknow,3,Lala Lajpat rai,NA,Park no 675N2 front park,NA,972,NA
Lucknow,3,Lala Lajpat rai,NA,B No M   Parks in front of C142 SectorC,NA,920,NA
Lucknow,3,Lala Lajpat rai,NA,Park front of building numberB18,NA,536,NA
Lucknow,3,Lala Lajpat rai,NA,Park numberN1/313 park in front,NA,483,NA
Lucknow,3,Lala Lajpat rai,NA,Park in front of the house of Shri Vivek Gupta in Akilapur Gava,NA,5198,NA
Lucknow,3,Lala Lajpat rai,NA,Akilapur Secretariat Colony's Side Park,NA,173,NA
Lucknow,3,Lala Lajpat rai,NA,Park near Akilapur village house of Ashok Kumar Singh,NA,1116,NA
Lucknow,3,Lala Lajpat rai,NA,Secretariat colony sector D building no  Park in front of T4 / S1,NA,276,NA
Lucknow,3,Lala Lajpat rai,NA,Secretariat Colony Sector D Building No4 / 81 Park,NA,276,NA
Lucknow,4,Colvin collegeNishatganj,NA,Nishatganj Subhash Park,NA,2848,NA
Lucknow,4,Colvin collegeNishatganj,NA,Meva Nursery Park,NA,2581,NA
Lucknow,4,Colvin collegeNishatganj,NA,New hyderabad park,NA,87854,NA
Lucknow,4,Colvin collegeNishatganj,NA,Florilla park,NA,710325,NA
Lucknow,4,Chinhut II,NA,Park and 1 / 114,47,86 against Bharat No 1/125,NA,3575,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 1/4454,NA,3150,NA
Lucknow,4,Chinhut II,NA,Park in front of Bhuj No 2/70,NA,1975,NA
Lucknow,4,Chinhut II,NA,Park in front of Bhuj No 2/53,NA,2240,NA
Lucknow,4,Chinhut II,NA,Park and 255 to 260 in front of Bharat No 2/233,NA,40375,NA
Lucknow,4,Chinhut II,NA,Park and 910,936,921 in front of Bharat No 3/932,NA,3990,NA
Lucknow,4,Chinhut II,NA,Park and 2/337, 317, 3/312 in front of Bharat No 2/318,NA,289,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 4/87,NA,4380,NA
Lucknow,4,Chinhut II,NA,Park P6 in front of Bharat No 4/502,NA,1296,NA
Lucknow,4,Chinhut II,NA,P7 Park in front of BS No 4/321,NA,2304,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 4/631,NA,1944,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 4/582,NA,1406,NA
Lucknow,4,Chinhut II,NA,Park and 4/707 adjacent to Bhuj No 4/736,NA,2016,NA
Lucknow,4,Chinhut II,NA,Park in front of Bhuj No 2/53,NA,6800,NA
Lucknow,4,Chinhut II,NA,Park and 3/233 in front of Bhooma 3/262,NA,3510,NA
Lucknow,4,Chinhut II,NA,Park and 107, 39 in front of Bharat No 3/120,NA,9898,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 1/160,NA,1600,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 3/57,NA,3626,NA
Lucknow,4,Chinhut II,NA,Park and Bhojpuri Park in front of Bharat No 3/180,NA,4756,NA
Lucknow,4,Chinhut II,NA,Park in front of the no 1/25,NA,1953,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 1/75,NA,1600,NA
Lucknow,4,Chinhut II,NA,Park and 1/49 in front of Bharat No 1/434,NA,4324,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 4/62,NA,4140,NA
Lucknow,4,Chinhut II,NA,Park and 4/15 in front of Bharat No 4/82,NA,1600,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 3/13,NA,1764,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 3/61,NA,5050,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 1/254 and 260 to 265,NA,3071,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 1/522,NA,1976,NA
Lucknow,4,Chinhut II,NA,Park in front of Bhuj No 2/296,NA,500,NA
Lucknow,4,Chinhut II,NA,Oht park,NA,1005,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 2/370,NA,630,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 3/857,NA,2424,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 3/688,NA,1105,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 3/581,NA,2145,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 3/490,NA,525,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 3/424,NA,1038,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 3/161,NA,2070,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 3/207,NA,1972,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 3/334,NA,320,NA
Lucknow,4,Chinhut II,NA,P1 park and 1/302 in front of Bhavan No 1/326 in Probable Clause,NA,1024,NA
Lucknow,4,Chinhut II,NA,P2 park in front of Bhavan No 1/203,NA,1024,NA
Lucknow,4,Chinhut II,NA,P3 park in front of Bharat No 1/258 in Probable Clause,NA,1024,NA
Lucknow,4,Chinhut II,NA,P4 Park in front of BSD1/333 in Distribution Block,NA,896,NA
Lucknow,4,Chinhut II,NA,P5 Park in front of Bharati Sanctu22 / 167 in Vibhav Block,NA,2142,NA
Lucknow,4,Chinhut II,NA,P6 Park in front of Bharat Sanctu22 / 141 in Vibhav Block,NA,935,NA
Lucknow,4,Chinhut II,NA,P7 Park in front of Bharati Sanctu22 / 295 in Vibhav Block,NA,1125,NA
Lucknow,4,Chinhut II,NA,P8 Park in front of Bharati Sanctu22 / 418 in Vibhav Block,NA,2800,NA
Lucknow,4,Chinhut II,NA,P9 Park in front of Bharati Sanctuary3 / 231 in Vibhav Block,NA,3750,NA
Lucknow,4,Chinhut II,NA,P10 park in front of Bharati Sanctuary 3 / 138 in Vibhav section,NA,5475,NA
Lucknow,4,Chinhut II,NA,P11 park in front of Bharati Sanctuary 3/122 in Vibhav section,NA,5616,NA
Lucknow,4,Chinhut II,NA,P12 park in front of Bharati Sanctuary 4/511 in Vibhav section,NA,1344,NA
Lucknow,4,Chinhut II,NA,P13 Park in front of Bharati Sanctuary 4 / 280 in Probable Segment,NA,1900,NA
Lucknow,4,Chinhut II,NA,P14 park in front of Bharati Sanctuary 4 / 96 in Vibhav clause,NA,1739,NA
Lucknow,4,Chinhut II,NA,In front of the P15 Park B04 / 650,NA,1152,NA
Lucknow,4,Chinhut II,NA,Park in front of the no 1/59,NA,90,NA
Lucknow,4,Chinhut II,NA,Park in front of the no 1/167,NA,165,NA
Lucknow,4,Chinhut II,NA,Park in front of number 1 1/121,NA,150,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 1/50,NA,100,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharti No 2/73,NA,720,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 2/207,NA,949,NA
Lucknow,4,Chinhut II,NA,Park No 2/260, Park 2/247,NA,3263,NA
Lucknow,4,Chinhut II,NA,Park in front of Bhatta No 2/315 S 2/305,NA,540,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 3/123,NA,426,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 3/298,NA,2885,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 3/220,NA,100,NA
Lucknow,4,Chinhut II,NA,Park in front of Bhoomi 3/288,NA,300,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 3/93,NA,360,NA
Lucknow,4,Chinhut II,NA,Park and 348, 379, in front of Bharat No 2/361,,NA,225,NA
Lucknow,4,Chinhut II,NA,P1 Park in front of Bharat No 1 1/15,NA,1104,NA
Lucknow,4,Chinhut II,NA,P 2 Park in front of Bhavan No 1/75,NA,432,NA
Lucknow,4,Chinhut II,NA,P3 park in front of Bharat No 1/144,NA,880,NA
Lucknow,4,Chinhut II,NA,P4 Park in front of Bharat No 1/222,NA,1679,NA
Lucknow,4,Chinhut II,NA,P5 Park in front of Bharti No 2/328,NA,2016,NA
Lucknow,4,Chinhut II,NA,Park in front of number 1 1/132,NA,1600,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 1 1/73,NA,4560,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 1/325,NA,837,NA
Lucknow,4,Chinhut II,NA,Park in front of the number 1 1/199,NA,1521,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharti No 3/77,NA,3102,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 3/207,NA,122625,NA
Lucknow,4,Chinhut II,NA,Park in front of number 1 1/123,NA,1600,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 4/94,NA,1600,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 2/59,NA,1600,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 2/61,NA,4140,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 2/130,NA,437,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No22/22,NA,224,NA
Lucknow,4,Chinhut II,NA,Park in front of Bhooma 3/157,NA,1600,NA
Lucknow,4,Chinhut II,NA,Park in front of Bharat No 1 1/38,NA,4085,NA
Lucknow,4,Chinhut I,NA,Park before 5/102,NA,2375,NA
Lucknow,4,Chinhut I,NA,Park in front of Bharat No 5/162,NA,1008,NA
Lucknow,4,Chinhut I,NA,Park and 6/480 in front of Bharat No 6/481,NA,792,NA
Lucknow,4,Chinhut I,NA,Park and 6/214 Gold Moher Park in front of Bhoomi 6/245,NA,3250,NA
Lucknow,4,Chinhut I,NA,Park and 137 in front of Bharat No 6/134, Tanki Park,NA,2262,NA
Lucknow,4,Chinhut I,NA,Park and Azad Park in front of Bharat No 6/101,NA,2214,NA
Lucknow,4,Chinhut I,NA,Park and 47, 386 Anand Park in front of Bhoomi 6/390,NA,3834,NA
Lucknow,4,Chinhut I,NA,Panchavati Eco Park near Park and Nodha Temple in front of Bhuj No 6/7,NA,1225,NA
Lucknow,4,Chinhut I,NA,Park and 1/180 in front of Bharat No 1/141,NA,2320,NA
Lucknow,4,Chinhut I,NA,Park in front of Bharat No 2/598,NA,345,NA
Lucknow,4,Chinhut I,NA,Park in front of Bharat No 2/524,NA,3420,NA
Lucknow,4,Chinhut I,NA,Park in front of Bharat No 1/96,NA,250,NA
Lucknow,4,Chinhut I,NA,Park and 1/180 in front of Bharat No 1 1/15,NA,3723,NA
Lucknow,4,Chinhut I,NA,Park near the house of Shree Shastri in Ganga Vihar Colony,NA,700,NA
Lucknow,4,Chinhut I,NA,Ramlila Maidan Park,NA,1050,NA
Lucknow,4,Chinhut I,NA,Park in Ganga Vihar Colony,NA,660,NA
Lucknow,4,Chinhut I,NA,Park in front of Bharat No 5/43,NA,1152,NA
Lucknow,4,Chinhut I,NA,Park in front of Bharat No 5/31,NA,2130,NA
Lucknow,4,Chinhut I,NA,Park in front of Bharat No 5/67,NA,1520,NA
Lucknow,4,Chinhut I,NA,Park in front of Bharat No 5/141,NA,1008,NA
Lucknow,4,Chinhut I,NA,Park in front of Bhooma 5/157,NA,3015,NA
Lucknow,4,Chinhut I,NA,Park in front of Bharat No 5/178,NA,1220,NA
Lucknow,4,Chinhut I,NA,Park in front of Bharat No 5/189,NA,1404,NA
Lucknow,4,Chinhut I,NA,Park in front of Bharat No 5/191,NA,580,NA
Lucknow,4,Chinhut I,NA,Park in front of Bharat No 5/199,NA,1680,NA
Lucknow,4,Chinhut I,NA,Park in front of Bharat No 2/320,NA,1064,NA
Lucknow,4,Chinhut I,NA,Park in front of Bharat No 2/308,NA,1092,NA
Lucknow,4,Chinhut I,NA,Park in front of Bhuj No 2/735,NA,1320,NA
Lucknow,4,Chinhut I,NA,Park in front of Bhoomi 3/338,NA,1120,NA
Lucknow,4,Chinhut I,NA,Park in front of Bharat No 3/337,NA,1120,NA
Lucknow,4,Chinhut I,NA,Park in front of Bharat No 3/587,NA,342,NA
Lucknow,4,Chinhut I,NA,Park in front of Bharat No 1/202,NA,792,NA
Lucknow,4,Chinhut I,NA,Park in front of Bhopal No 1 / 203D,NA,352,NA
Lucknow,4,Chinhut I,NA,Park in front of the number 1/2/250,NA,740,NA
Lucknow,4,Chinhut I,NA,Park in front of no 1/16,NA,998,NA
Lucknow,4,Chinhut I,NA,Park in front of the no 1/89,NA,2304,NA
Lucknow,4,Paper mil colony,NA,Park in front of Bharat No 1/60,NA,1560,NA
Lucknow,4,Paper mil colony,NA,Park in front of Bharat No 2/182,NA,728,NA
Lucknow,4,Paper mil colony,NA,Park in front of Bhuj No 2/74,NA,2365,NA
Lucknow,4,Paper mil colony,NA,Park and 2/111 Ram Park in front of Bharat No 2/147,NA,2310,NA
Lucknow,4,Paper mil colony,NA,Park and Gayatri Park in front of Bharti No 3/283,NA,1594,NA
Lucknow,4,Paper mil colony,NA,Park in front of number 3/289,NA,663,NA
Lucknow,4,Paper mil colony,NA,Park and 3/230 Faith Park in front of Bharat No 3/279,NA,2436,NA
Lucknow,4,Paper mil colony,NA,Park 3/81 Holly Milan Park in front of Bharti No 3/83,NA,2660,NA
Lucknow,4,Paper mil colony,NA,Park and 3/72 in front of Bharat No 3/68,NA,2135,NA
Lucknow,4,Paper mil colony,NA,Park in front of Bharat No 3/33,NA,80335,NA
Lucknow,4,Paper mil colony,NA,Nand Nandan Park in front of Bharat No 3/459,NA,1761,NA
Lucknow,4,Paper mil colony,NA,Park and Shivaji Park in front of Bharat No 3/447,NA,4444,NA
Lucknow,4,Paper mil colony,NA,Park and selfcontemplation park in front of Bharat No 3/199,NA,1330,NA
Lucknow,4,Paper mil colony,NA,Child park near BS G 2 / 1,NA,301,NA
Lucknow,4,Paper mil colony,NA,Akshaywar Bharate Park 0 B4/1,NA,3663,NA
Lucknow,4,Paper mil colony,NA,Bhuj NoA71 Temple Park,NA,28025,NA
Lucknow,4,Paper mil colony,NA,Park your park in front of 30,NA,2109,NA
Lucknow,4,Paper mil colony,NA,Park in front of B1C14,NA,84175,NA
Lucknow,4,Paper mil colony,NA,In front of Bharti No 314 in Aldiko Colony,NA,10695,NA
Lucknow,4,Paper mil colony,NA,Aldiko Colony Bhatta No 86 in front of Mr VV Singh's house,NA,2153,NA
Lucknow,4,Paper mil colony,NA,Aldiko Colony B Nos 154 Park in front of Mr Vijay Kumar,NA,94075,NA
Lucknow,4,Paper mil colony,NA,Park in front of BD No1111 in Eldico Colony,NA,2795,NA
Lucknow,4,Paper mil colony,NA,Park in front of No 2/2327,NA,462,NA
Lucknow,4,Paper mil colony,NA,Park in front of Bharat GG5 and Saurabh MLA,NA,559,NA
Lucknow,4,Paper mil colony,NA,C25/7 Balmiki Park,NA,83995,NA
Lucknow,4,Rajeev gandhi II,NA,Park in front of No 2/843,NA,2139,NA
Lucknow,4,Rajeev gandhi II,NA,Park and Sangam Park in front of NoL2/839,NA,1856,NA
Lucknow,4,Rajeev gandhi II,NA,Park in front of Bharat No E / 2/602,NA,1960,NA
Lucknow,4,Rajeev gandhi II,NA,Park in front of Bharat No E / 2/500,NA,18915,NA
Lucknow,4,Rajeev gandhi II,NA,Park in front of L2/70,NA,1560,NA
Lucknow,4,Rajeev gandhi II,NA,Park and mm3 / 256, E3 / 84 in front of Bharat No L3/5,NA,1132,NA
Lucknow,4,Rajeev gandhi II,NA,Park in front of No 3/32,NA,2142,NA
Lucknow,4,Rajeev gandhi II,NA,Park in front of Bharat No E3/299,NA,1883,NA
Lucknow,4,Rajeev gandhi II,NA,Park in front of No 4/216,NA,2397,NA
Lucknow,4,Rajeev gandhi II,NA,Park beside No L4/219,NA,1843,NA
Lucknow,4,Rajeev gandhi II,NA,Park in front of Bhuji No L4/108,NA,1632,NA
Lucknow,4,Rajeev gandhi II,NA,In front of LDA market,NA,16511,NA
Lucknow,4,Rajeev gandhi II,NA,Park in front of \ No E4 / 894,NA,125625,NA
Lucknow,4,Rajeev gandhi II,NA,Park in front of No E4/519,NA,13665,NA
Lucknow,4,Rajeev gandhi II,NA,Park in front of number 3/240,NA,897,NA
Lucknow,4,Rajeev gandhi II,NA,Park and 3/149, 268 in front of Bharat No 3/185,NA,1560,NA
Lucknow,4,Rajeev gandhi II,NA,P1 Park and 1/13 in front of Bhavan No 1/18,NA,4277,NA
Lucknow,4,Rajeev gandhi II,NA,P2 Park and 1/90, 1 / 24,94 in front of Bharat No 1/75,NA,4095,NA
Lucknow,4,Rajeev gandhi II,NA,P3 park and 1 / 163,142 in front of Bhavan No 1/192,NA,3685,NA
Lucknow,4,Rajeev gandhi II,NA,P4 Park and 1/135 in front of Bharat No1172,NA,2160,NA
Lucknow,4,Rajeev gandhi II,NA,P5 Park and 1/185 in front of Bharat No 1/205,NA,2220,NA
Lucknow,4,Rajeev gandhi II,NA,Behind the P6 Park Dev Palace in front of Bharat No1178,NA,4446,NA
Lucknow,4,Rajeev gandhi II,NA,P1 Park and 2/618 Temple Park in front of Bharat No 2/597,NA,1645,NA
Lucknow,4,Rajeev gandhi II,NA,P3 park in front of No 2/413,NA,2727,NA
Lucknow,4,Rajeev gandhi II,NA,P4 Park and 2/186 in front of No 2/232,NA,2170,NA
Lucknow,4,Rajeev gandhi II,NA,P5 Park and 2/155 in front of No 2/197,NA,2113,NA
Lucknow,4,Rajeev gandhi II,NA,P6 Park in front of No 2/149,NA,3600,NA
Lucknow,4,Rajeev gandhi II,NA,P7 Park and 2/101 in front of No 2/98,NA,3709,NA
Lucknow,4,Rajeev gandhi II,NA,P 2 Park in front of No 3/210,NA,0,NA
Lucknow,4,Rajeev gandhi II,NA,P1 Park in front of  No 3/109,NA,3276,NA
Lucknow,4,Rajeev gandhi II,NA,P3 park in front of No 3/350,NA,300,NA
Lucknow,4,Rajeev gandhi II,NA,P1 park in front of No 4/209,NA,787,NA
Lucknow,4,Rajeev gandhi II,NA,P2 park in front of No 4/407,NA,1652,NA
Lucknow,4,Rajeev gandhi II,NA,P3 park in front of No 4/98,NA,594,NA
Lucknow,4,Rajeev gandhi II,NA,Behind P4 Park and B4/446 in front of No 4/448,NA,616,NA
Lucknow,4,Rajeev gandhi II,NA,Park and 114, 144 in front of No 5/26,NA,1680,NA
Lucknow,4,Rajeev gandhi II,NA,Park in front of No 5/51,NA,159375,NA
Lucknow,4,Rajeev gandhi II,NA,Park in front of No 5/51,NA,57,NA
Lucknow,4,Rajeev gandhi II,NA,Park and 849 in front of No 5/525,NA,153675,NA
Lucknow,4,Rajeev gandhi II,NA,Park and 153, 170, 225 in front of No 5/86,NA,292,NA
Lucknow,4,Rajeev gandhi II,NA,Park and 307, 365, 391 in front of No 5/388,NA,2640,NA
Lucknow,4,Rajeev gandhi II,NA,Park and 998,1197,917 in front of No 5/925,NA,25315,NA
Lucknow,4,Rajeev gandhi II,NA,Park and MM in front of No L3/115 4/43,NA,1479,NA
Lucknow,4,Rajeev gandhi II,NA,Behind the Park Adarsh ??Market in front of Nos L4/178,NA,2640,NA
Lucknow,4,Rajeev gandhi II,NA,Park in front of No 2/565,NA,13635,NA
Lucknow,4,Rajeev gandhi II,NA,Park in front of No 2/243,NA,20825,NA
Lucknow,4,Rajeev gandhi II,NA,Park in front of No 3/92,NA,18615,NA
Lucknow,4,Rajeev gandhi II,NA,Park next to No L3/87,NA,2310,NA
Lucknow,4,Rajeev gandhi II,NA,Park next to Bazaar No L3/119 in front of Adarsh ??Market,NA,1920,NA
Lucknow,4,Rajeev gandhi II,NA,Park in front of Bharti No M3/18,NA,2548,NA
Lucknow,4,Rajeev gandhi II,NA,P7 Park in front of Bhavan No 1/463,NA,735,NA
Lucknow,4,Rajeev gandhi II,NA,P8 Park in front of Bharti No 1/291,NA,1811,NA
Lucknow,4,Rajeev gandhi II,NA,In front of 2/390 in front of P2 Park and Ram Bhawan,NA,1356,NA
Lucknow,4,Rajeev gandhi II,NA,Park and 695, 790, 680, 545 Tinkiwala Park in front of Bharat No 5/646,NA,8645,NA
Lucknow,4,Rajeev gandhi II,NA,Park and 930, 950, 1107, in front of Bharat No 5/1194,NA,1275,NA
Lucknow,4,Rajeev gandhi II,NA,Park and 998,1010,1026 in front of Bharat No 5/981,NA,13135,NA
Lucknow,4,Rajeev gandhi II,NA,Park and 1036,1060,1180 in front of Bhatta 5/1097,NA,141362,NA
Lucknow,4,Rajeev gandhi II,NA,Park and 1073,1154,1160 in front of Bharat No 5/1171,NA,1406,NA
Lucknow,4,Rajeev gandhi II,NA,Park and 1142 in front of Bharat No 5/1147, Karpuri Thakur Park,NA,4842,NA
Lucknow,4,Rajeev gandhi I,NA,Husseeia Park in front of No 2/2,NA,230625,NA
Lucknow,4,Rajeev gandhi I,NA,P1 Park B 4/110 and 4/112,NA,151875,NA
Lucknow,4,Rajeev gandhi I,NA,P2 Park No 4/287 front and 4/204,176,224,NA,1512,NA
Lucknow,4,Rajeev gandhi I,NA,Shani Mandir next to 4 / 148,4 / 272 in front of P3 Park Bharti No 4/12,NA,7400,NA
Lucknow,4,Rajeev gandhi I,NA,In front of P4 Park No 1/136,NA,6003,NA
Lucknow,4,Rajeev gandhi I,NA,P5 Park B1 No 1 1/1 and 1/63,NA,1640,NA
